id,RFM_Overall,Segment
22541,455,Champions
22542,122,Hibernating customers
22543,253,At Risk
22544,522,Promising
22545,323,Potential Loyalist
22546,254,At Risk
22548,511,New Customers
2255,154,Cannot Lose Them
22551,133,At Risk
22552,155,Cannot Lose Them
22554,453,Potential Loyalist
22555,245,At Risk
22557,112,Lost customers
22558,142,At Risk
22559,343,Need Attention
2256,511,New Customers
22560,411,New Customers
22561,225,At Risk
22562,335,Loyal
22563,125,At Risk
22564,554,Champions
22566,212,Hibernating customers
22567,131,Lost customers
22568,454,Champions
22569,122,Hibernating customers
2257,344,Loyal
22570,445,Champions
22571,133,At Risk
22573,545,Champions
22575,121,Lost customers
22576,453,Potential Loyalist
22577,254,At Risk
22579,555,Champions
2258,533,Potential Loyalist
22580,245,At Risk
22581,233,Hibernating customers
22582,421,New Customers
22583,311,New Customers
22584,222,Hibernating customers
22585,532,Potential Loyalist
22586,112,Lost customers
22587,354,Loyal
22588,334,Need Attention
22591,334,Need Attention
22592,514,Promising
22593,511,New Customers
22594,131,Lost customers
22595,213,About To Sleep
22597,443,Need Attention
22598,432,Potential Loyalist
226,124,At Risk
2260,255,At Risk
22601,112,Lost customers
22603,233,Hibernating customers
22604,513,Promising
22605,555,Champions
22606,444,Loyal
22607,425,Promising
22608,455,Champions
22609,544,Champions
2261,433,Potential Loyalist
22610,555,Champions
22611,244,At Risk
22612,445,Champions
22613,213,About To Sleep
22617,132,Hibernating customers
2262,544,Champions
22620,345,Loyal
22623,221,About To Sleep
22625,342,Potential Loyalist
22626,221,About To Sleep
22627,242,At Risk
22628,344,Loyal
22629,111,Lost customers
2263,444,Loyal
22630,432,Potential Loyalist
22632,132,Hibernating customers
22633,435,Loyal
22635,325,Need Attention
22636,534,Need Attention
22637,121,Lost customers
22639,524,Promising
2264,125,At Risk
22640,522,Promising
22641,124,At Risk
22642,221,About To Sleep
22643,122,Hibernating customers
22644,323,Potential Loyalist
22645,222,Hibernating customers
22647,121,Lost customers
22648,455,Champions
22649,554,Champions
2265,243,At Risk
22651,242,At Risk
22653,122,Hibernating customers
22654,532,Potential Loyalist
22656,315,Promising
22658,211,Hibernating customers
22659,123,Hibernating customers
2266,354,Loyal
22663,213,About To Sleep
22665,511,New Customers
22666,153,At Risk
22667,355,Loyal
22668,322,Hibernating customers
22669,153,At Risk
2267,351,Potential Loyalist
22671,243,At Risk
22672,224,At Risk
22673,555,Champions
22674,125,At Risk
22676,213,About To Sleep
22677,455,Champions
22678,322,Hibernating customers
22679,232,Hibernating customers
2268,421,New Customers
22680,511,New Customers
22681,343,Need Attention
22682,532,Potential Loyalist
22685,333,Potential Loyalist
22687,522,Promising
22688,234,At Risk
22689,442,Potential Loyalist
2269,212,Hibernating customers
22690,411,New Customers
22691,121,Lost customers
22694,422,New Customers
22695,121,Lost customers
22698,154,Cannot Lose Them
22699,124,At Risk
227,455,Champions
2270,133,At Risk
22702,355,Loyal
22704,145,At Risk
22705,522,Promising
22706,222,Hibernating customers
22707,154,Cannot Lose Them
22708,211,Hibernating customers
22709,134,At Risk
2271,155,Cannot Lose Them
22714,241,About To Sleep
22714,241,Hibernating customers
22716,423,Potential Loyalist
22717,533,Potential Loyalist
22719,413,Promising
2272,515,Promising
22721,444,Loyal
22723,332,Hibernating customers
22725,531,Potential Loyalist
22726,455,Champions
22727,121,Lost customers
22728,212,Hibernating customers
2273,134,At Risk
22731,255,At Risk
22732,353,Potential Loyalist
22733,143,At Risk
22734,424,Promising
22737,131,Lost customers
2274,324,Need Attention
22740,211,Hibernating customers
22741,113,Cannot Lose Them
22742,512,New Customers
22743,524,Promising
22744,141,Lost customers
22746,155,Cannot Lose Them
22747,233,Hibernating customers
22748,355,Loyal
2275,124,At Risk
22750,123,Hibernating customers
22751,322,Hibernating customers
22752,452,Potential Loyalist
22753,132,Hibernating customers
22755,354,Loyal
22756,312,About To Sleep
22759,122,Hibernating customers
2276,133,At Risk
22761,455,Champions
22762,432,Potential Loyalist
22763,515,Promising
22764,155,Cannot Lose Them
22765,421,New Customers
22766,355,Loyal
22767,321,About To Sleep
2277,511,New Customers
22771,255,At Risk
22772,521,Promising
22775,431,Potential Loyalist
22776,535,Need Attention
22777,231,Hibernating customers
22777,231,About To Sleep
22778,532,Potential Loyalist
22779,132,Hibernating customers
2278,333,Potential Loyalist
22781,211,Hibernating customers
22782,255,At Risk
22784,514,Promising
22786,211,Hibernating customers
22788,354,Loyal
22789,512,New Customers
2279,254,At Risk
22791,124,At Risk
22792,243,At Risk
22793,313,Promising
22794,511,New Customers
22795,353,Potential Loyalist
22796,545,Champions
22798,411,New Customers
22799,131,Lost customers
228,354,Loyal
2280,432,Potential Loyalist
22800,353,Potential Loyalist
22801,111,Lost customers
22803,224,At Risk
22804,554,Champions
22805,423,Potential Loyalist
22806,321,About To Sleep
22809,234,At Risk
2281,334,Need Attention
22810,424,Promising
22811,244,At Risk
22813,124,At Risk
22814,334,Need Attention
22815,233,Hibernating customers
22816,355,Loyal
22817,214,Cannot Lose Them
22818,114,Cannot Lose Them
22819,332,Hibernating customers
2282,511,New Customers
22821,321,About To Sleep
22822,355,Loyal
22823,114,Cannot Lose Them
22825,455,Champions
22828,243,At Risk
22829,553,Potential Loyalist
2283,323,Potential Loyalist
22830,114,Cannot Lose Them
22831,123,Hibernating customers
22832,234,At Risk
22833,142,At Risk
22834,242,At Risk
22835,124,At Risk
22836,111,Lost customers
22837,244,At Risk
22838,455,Champions
2284,454,Champions
22840,121,Lost customers
22841,555,Champions
22842,535,Need Attention
22843,514,Promising
22844,225,At Risk
22845,332,Hibernating customers
22849,232,Hibernating customers
2285,111,Lost customers
22850,132,Hibernating customers
22851,231,Hibernating customers
22851,231,About To Sleep
22852,554,Champions
22853,433,Potential Loyalist
22855,154,Cannot Lose Them
22856,155,Cannot Lose Them
22857,534,Need Attention
22859,454,Champions
2286,515,Promising
22860,411,New Customers
22861,453,Potential Loyalist
22862,553,Potential Loyalist
22863,555,Champions
22864,355,Loyal
22865,331,About To Sleep
22866,144,Cannot Lose Them
22867,124,At Risk
22868,424,Promising
2287,411,New Customers
22870,455,Champions
22871,531,Potential Loyalist
22874,112,Lost customers
22875,523,Promising
22876,244,At Risk
22877,333,Potential Loyalist
22879,234,At Risk
22881,512,New Customers
22882,212,Hibernating customers
22883,131,Lost customers
22884,115,Cannot Lose Them
22885,212,Hibernating customers
22887,223,Hibernating customers
2289,131,Lost customers
22890,111,Lost customers
22892,511,New Customers
22893,124,At Risk
22894,332,Hibernating customers
22896,141,Lost customers
22897,341,Potential Loyalist
22901,315,Promising
22904,244,At Risk
22905,421,New Customers
22908,112,Lost customers
22909,321,About To Sleep
22910,355,Loyal
22911,154,Cannot Lose Them
22912,512,New Customers
22913,513,Promising
22914,512,New Customers
22918,114,Cannot Lose Them
2292,342,Potential Loyalist
22921,123,Hibernating customers
22922,211,Hibernating customers
22923,133,At Risk
22925,335,Loyal
22927,512,New Customers
22929,135,At Risk
2293,132,Hibernating customers
22930,213,About To Sleep
22932,341,Potential Loyalist
22933,123,Hibernating customers
22936,313,Promising
22937,443,Need Attention
22938,354,Loyal
22939,353,Potential Loyalist
2294,532,Potential Loyalist
22940,555,Champions
22942,511,New Customers
22944,555,Champions
22946,534,Need Attention
22947,531,Potential Loyalist
22948,112,Lost customers
22949,122,Hibernating customers
2295,131,Lost customers
22950,514,Promising
22951,341,Potential Loyalist
22955,355,Loyal
22956,243,At Risk
22957,145,At Risk
22958,533,Potential Loyalist
22959,355,Loyal
2296,331,About To Sleep
22960,114,Cannot Lose Them
22962,421,New Customers
22964,555,Champions
22965,543,Loyal
22966,335,Loyal
2297,243,At Risk
22970,224,At Risk
22971,532,Potential Loyalist
22972,511,New Customers
22973,324,Need Attention
22974,323,Potential Loyalist
22975,442,Potential Loyalist
22976,522,Promising
22979,344,Loyal
2298,143,At Risk
22980,122,Hibernating customers
22981,423,Potential Loyalist
22983,123,Hibernating customers
22984,333,Potential Loyalist
22986,444,Loyal
22987,512,New Customers
22988,443,Need Attention
2299,221,About To Sleep
22990,132,Hibernating customers
22993,434,Need Attention
22994,455,Champions
22995,454,Champions
22997,142,At Risk
22998,121,Lost customers
22999,113,Cannot Lose Them
230,325,Need Attention
23000,124,At Risk
23001,434,Need Attention
23002,314,Promising
23003,131,Lost customers
23004,533,Potential Loyalist
23006,245,At Risk
23007,453,Potential Loyalist
23008,555,Champions
23009,321,About To Sleep
2301,355,Loyal
23010,123,Hibernating customers
23012,333,Potential Loyalist
23013,515,Promising
23014,115,Cannot Lose Them
23016,435,Loyal
23017,241,Hibernating customers
23017,241,About To Sleep
23018,252,At Risk
23019,143,At Risk
2302,323,Potential Loyalist
23020,253,At Risk
23021,242,At Risk
23023,121,Lost customers
23024,531,Potential Loyalist
23025,421,New Customers
23026,354,Loyal
23027,345,Loyal
23028,424,Promising
23029,212,Hibernating customers
2303,243,At Risk
23031,453,Potential Loyalist
23032,323,Potential Loyalist
23034,442,Potential Loyalist
23035,324,Need Attention
23036,554,Champions
23037,241,About To Sleep
23037,241,Hibernating customers
2304,131,Lost customers
23040,442,Potential Loyalist
23041,412,New Customers
23042,232,Hibernating customers
23045,354,Loyal
23046,324,Need Attention
23047,112,Lost customers
23048,313,Promising
23049,555,Champions
23050,421,New Customers
23052,325,Need Attention
23053,123,Hibernating customers
23054,113,Cannot Lose Them
23055,543,Loyal
23056,334,Need Attention
23057,534,Need Attention
23058,323,Potential Loyalist
2306,522,Promising
23061,314,Promising
23062,555,Champions
23063,411,New Customers
23064,313,Promising
23065,121,Lost customers
23066,425,Promising
23067,111,Lost customers
2307,131,Lost customers
23070,432,Potential Loyalist
23072,424,Promising
23073,512,New Customers
23077,343,Need Attention
23079,322,Hibernating customers
23081,414,Promising
23082,111,Lost customers
23083,421,New Customers
23085,134,At Risk
23086,233,Hibernating customers
23087,533,Potential Loyalist
23089,545,Champions
2309,355,Loyal
23091,345,Loyal
23092,541,Potential Loyalist
23093,213,About To Sleep
23094,244,At Risk
23095,515,Promising
23096,242,At Risk
23097,211,Hibernating customers
23098,354,Loyal
23099,121,Lost customers
231,423,Potential Loyalist
2310,221,About To Sleep
23101,122,Hibernating customers
23102,554,Champions
23104,344,Loyal
23105,553,Potential Loyalist
23107,321,About To Sleep
23109,344,Loyal
2311,122,Hibernating customers
23112,253,At Risk
23114,412,New Customers
23115,555,Champions
23116,111,Lost customers
23118,354,Loyal
23119,331,About To Sleep
23120,133,At Risk
23121,342,Potential Loyalist
23122,225,At Risk
23123,544,Champions
23124,122,Hibernating customers
23127,453,Potential Loyalist
23128,114,Cannot Lose Them
2313,114,Cannot Lose Them
23130,454,Champions
23131,332,Hibernating customers
23134,413,Promising
23135,252,At Risk
23136,145,At Risk
23138,545,Champions
2314,144,Cannot Lose Them
23141,421,New Customers
23142,113,Cannot Lose Them
23143,155,Cannot Lose Them
23145,555,Champions
23146,344,Loyal
23148,121,Lost customers
2315,321,About To Sleep
23150,434,Need Attention
23151,425,Promising
23153,524,Promising
23154,555,Champions
23155,421,New Customers
23156,323,Potential Loyalist
23159,421,New Customers
23160,543,Loyal
23161,145,At Risk
23162,111,Lost customers
23163,554,Champions
23164,213,About To Sleep
23165,323,Potential Loyalist
23167,124,At Risk
23168,133,At Risk
23169,324,Need Attention
2317,345,Loyal
23173,212,Hibernating customers
23174,111,Lost customers
23175,123,Hibernating customers
23176,143,At Risk
23177,555,Champions
23178,321,About To Sleep
23179,322,Hibernating customers
23180,323,Potential Loyalist
23181,434,Need Attention
23184,522,Promising
23185,312,About To Sleep
23186,531,Potential Loyalist
23187,354,Loyal
2319,324,Need Attention
23190,232,Hibernating customers
23191,455,Champions
23192,334,Need Attention
23193,243,At Risk
23194,231,About To Sleep
23194,231,Hibernating customers
23195,331,About To Sleep
23198,124,At Risk
232,325,Need Attention
23201,112,Lost customers
23202,421,New Customers
23203,243,At Risk
23204,523,Promising
23205,255,At Risk
23206,254,At Risk
23207,531,Potential Loyalist
23208,545,Champions
23209,433,Potential Loyalist
2321,241,About To Sleep
2321,241,Hibernating customers
23210,123,Hibernating customers
23211,322,Hibernating customers
23213,511,New Customers
23214,345,Loyal
23215,532,Potential Loyalist
23216,123,Hibernating customers
23217,212,Hibernating customers
2322,332,Hibernating customers
23220,212,Hibernating customers
23222,445,Champions
23223,353,Potential Loyalist
23225,134,At Risk
23226,455,Champions
23227,343,Need Attention
23228,244,At Risk
23229,421,New Customers
2323,542,Potential Loyalist
23230,311,New Customers
23231,311,New Customers
23232,433,Potential Loyalist
23233,411,New Customers
23234,231,Hibernating customers
23234,231,About To Sleep
23235,213,About To Sleep
23236,114,Cannot Lose Them
23237,531,Potential Loyalist
23238,142,At Risk
23239,511,New Customers
23242,213,About To Sleep
23243,555,Champions
23244,111,Lost customers
23245,423,Potential Loyalist
23246,412,New Customers
23247,112,Lost customers
23248,231,About To Sleep
23248,231,Hibernating customers
2325,455,Champions
23250,222,Hibernating customers
23252,455,Champions
23253,455,Champions
23255,244,At Risk
23257,455,Champions
23258,113,Cannot Lose Them
23259,542,Potential Loyalist
2326,213,About To Sleep
23260,511,New Customers
23261,331,About To Sleep
23262,321,About To Sleep
23265,152,At Risk
23266,132,Hibernating customers
23267,424,Promising
23268,245,At Risk
23269,543,Loyal
23272,311,New Customers
23275,553,Potential Loyalist
23276,315,Promising
23277,323,Potential Loyalist
23278,554,Champions
23279,431,Potential Loyalist
23282,345,Loyal
23283,323,Potential Loyalist
23284,345,Loyal
23285,423,Potential Loyalist
23286,111,Lost customers
23287,121,Lost customers
23289,521,Promising
2329,331,About To Sleep
23290,245,At Risk
23291,341,Potential Loyalist
23292,321,About To Sleep
23293,355,Loyal
23294,421,New Customers
23296,553,Potential Loyalist
23297,413,Promising
23298,354,Loyal
23299,332,Hibernating customers
23300,522,Promising
23301,354,Loyal
23303,513,Promising
23304,123,Hibernating customers
23307,134,At Risk
23308,123,Hibernating customers
23309,444,Loyal
23310,331,About To Sleep
23311,535,Need Attention
23312,211,Hibernating customers
23313,512,New Customers
23315,424,Promising
23316,353,Potential Loyalist
23317,144,Cannot Lose Them
23319,113,Cannot Lose Them
23320,352,Potential Loyalist
23321,355,Loyal
23322,511,New Customers
23323,114,Cannot Lose Them
23325,122,Hibernating customers
23327,554,Champions
23328,255,At Risk
2333,142,At Risk
23331,554,Champions
23332,422,New Customers
23333,214,Cannot Lose Them
23334,121,Lost customers
23336,454,Champions
23337,111,Lost customers
23338,553,Potential Loyalist
23339,313,Promising
23343,111,Lost customers
23344,422,New Customers
23345,111,Lost customers
23346,552,Potential Loyalist
23347,131,Lost customers
23350,353,Potential Loyalist
23354,143,At Risk
23355,445,Champions
23356,513,Promising
23357,455,Champions
23358,412,New Customers
23359,231,Hibernating customers
23359,231,About To Sleep
23360,312,About To Sleep
23361,434,Need Attention
23363,332,Hibernating customers
23365,555,Champions
23367,154,Cannot Lose Them
23368,442,Potential Loyalist
23369,355,Loyal
23370,133,At Risk
23373,332,Hibernating customers
23374,122,Hibernating customers
23375,112,Lost customers
23376,531,Potential Loyalist
23378,511,New Customers
23379,245,At Risk
23381,344,Loyal
23383,231,About To Sleep
23383,231,Hibernating customers
23385,332,Hibernating customers
23386,342,Potential Loyalist
23387,311,New Customers
23389,441,Potential Loyalist
2339,133,At Risk
23392,521,Promising
23393,354,Loyal
23394,342,Potential Loyalist
23395,331,About To Sleep
23396,534,Need Attention
23397,145,At Risk
23398,513,Promising
23399,553,Potential Loyalist
234,155,Cannot Lose Them
2340,511,New Customers
23400,331,About To Sleep
23401,545,Champions
23402,225,At Risk
23404,124,At Risk
23406,244,At Risk
23407,245,At Risk
23408,354,Loyal
23409,132,Hibernating customers
23410,212,Hibernating customers
23411,415,Promising
23412,455,Champions
23413,244,At Risk
23414,121,Lost customers
23417,333,Potential Loyalist
23418,112,Lost customers
23420,133,At Risk
23421,345,Loyal
23423,121,Lost customers
23424,512,New Customers
23425,255,At Risk
23426,123,Hibernating customers
23429,234,At Risk
2343,331,About To Sleep
23432,332,Hibernating customers
23433,233,Hibernating customers
23434,133,At Risk
23435,234,At Risk
23437,554,Champions
23438,115,Cannot Lose Them
2344,425,Promising
23440,552,Potential Loyalist
23441,133,At Risk
23442,341,Potential Loyalist
23443,232,Hibernating customers
23445,551,Potential Loyalist
23446,331,About To Sleep
23447,554,Champions
23448,241,About To Sleep
23448,241,Hibernating customers
23450,511,New Customers
23452,144,Cannot Lose Them
23454,254,At Risk
23456,514,Promising
23457,513,Promising
23458,415,Promising
23459,111,Lost customers
2346,333,Potential Loyalist
23460,454,Champions
23461,421,New Customers
23463,554,Champions
23464,355,Loyal
23465,455,Champions
23466,412,New Customers
23467,222,Hibernating customers
23468,112,Lost customers
2347,354,Loyal
23470,145,At Risk
23471,353,Potential Loyalist
23472,331,About To Sleep
23474,132,Hibernating customers
23476,412,New Customers
23477,112,Lost customers
23478,122,Hibernating customers
23479,224,At Risk
23480,443,Need Attention
23481,355,Loyal
23483,544,Champions
23484,135,At Risk
23485,353,Potential Loyalist
23487,115,Cannot Lose Them
23488,131,Lost customers
23489,441,Potential Loyalist
23492,445,Champions
23494,155,Cannot Lose Them
23495,343,Need Attention
23497,554,Champions
23498,132,Hibernating customers
23499,232,Hibernating customers
235,223,Hibernating customers
23501,244,At Risk
23502,323,Potential Loyalist
23503,153,At Risk
23505,244,At Risk
23506,254,At Risk
2351,344,Loyal
23511,223,Hibernating customers
23512,221,About To Sleep
23513,555,Champions
23515,152,At Risk
23516,432,Potential Loyalist
23517,241,Hibernating customers
23517,241,About To Sleep
23519,214,Cannot Lose Them
2352,245,At Risk
23520,112,Lost customers
23521,221,About To Sleep
23522,345,Loyal
23523,412,New Customers
23524,355,Loyal
23525,115,Cannot Lose Them
23527,255,At Risk
23528,455,Champions
23529,524,Promising
23530,254,At Risk
23532,331,About To Sleep
23534,434,Need Attention
23537,555,Champions
23538,511,New Customers
23539,255,At Risk
2354,434,Need Attention
23543,233,Hibernating customers
23546,524,Promising
23547,411,New Customers
23549,513,Promising
23550,222,Hibernating customers
23551,224,At Risk
23552,111,Lost customers
23553,353,Potential Loyalist
23554,122,Hibernating customers
23555,331,About To Sleep
23556,455,Champions
23557,513,Promising
23558,521,Promising
23559,514,Promising
2356,513,Promising
23560,444,Loyal
23562,424,Promising
23563,553,Potential Loyalist
23564,534,Need Attention
23565,454,Champions
23566,454,Champions
23568,521,Promising
23569,413,Promising
23571,445,Champions
23572,244,At Risk
23573,355,Loyal
23574,221,About To Sleep
23575,244,At Risk
23578,311,New Customers
23579,332,Hibernating customers
2358,555,Champions
23581,223,Hibernating customers
23582,454,Champions
23585,352,Potential Loyalist
23589,143,At Risk
2359,521,Promising
23590,132,Hibernating customers
23591,311,New Customers
23592,354,Loyal
23593,245,At Risk
23594,332,Hibernating customers
23595,533,Potential Loyalist
23596,521,Promising
236,513,Promising
2360,124,At Risk
23601,344,Loyal
23603,511,New Customers
23604,132,Hibernating customers
23606,321,About To Sleep
23607,153,At Risk
23608,232,Hibernating customers
23610,555,Champions
23611,113,Cannot Lose Them
23612,124,At Risk
23613,131,Lost customers
23614,522,Promising
23615,433,Potential Loyalist
23618,132,Hibernating customers
23619,555,Champions
2362,322,Hibernating customers
23622,515,Promising
23623,411,New Customers
23625,344,Loyal
23626,112,Lost customers
23628,122,Hibernating customers
2363,112,Lost customers
23631,422,New Customers
23632,243,At Risk
23633,115,Cannot Lose Them
23637,221,About To Sleep
23638,132,Hibernating customers
23639,355,Loyal
2364,512,New Customers
23640,554,Champions
23641,534,Need Attention
23642,124,At Risk
23643,233,Hibernating customers
23645,334,Need Attention
23647,432,Potential Loyalist
23648,131,Lost customers
23649,533,Potential Loyalist
23650,454,Champions
23653,241,Hibernating customers
23653,241,About To Sleep
23655,454,Champions
23657,322,Hibernating customers
23658,122,Hibernating customers
2366,313,Promising
23660,555,Champions
23661,331,About To Sleep
23663,113,Cannot Lose Them
23664,432,Potential Loyalist
23665,454,Champions
23666,323,Potential Loyalist
23667,453,Potential Loyalist
23669,344,Loyal
2367,254,At Risk
23670,424,Promising
23673,222,Hibernating customers
23674,544,Champions
23676,231,About To Sleep
23676,231,Hibernating customers
23678,533,Potential Loyalist
2368,413,Promising
23680,424,Promising
23683,142,At Risk
23685,451,Potential Loyalist
23686,453,Potential Loyalist
23688,355,Loyal
23689,255,At Risk
2369,342,Potential Loyalist
23690,335,Loyal
23692,243,At Risk
23694,254,At Risk
23695,524,Promising
23699,211,Hibernating customers
237,552,Potential Loyalist
2370,554,Champions
23700,324,Need Attention
23701,155,Cannot Lose Them
23702,342,Potential Loyalist
23703,453,Potential Loyalist
23704,455,Champions
23705,242,At Risk
23708,323,Potential Loyalist
2371,545,Champions
23710,514,Promising
23711,355,Loyal
23713,241,About To Sleep
23713,241,Hibernating customers
23714,123,Hibernating customers
23715,314,Promising
23716,232,Hibernating customers
23717,343,Need Attention
23718,414,Promising
23719,133,At Risk
2372,332,Hibernating customers
23720,353,Potential Loyalist
23721,311,New Customers
23723,512,New Customers
23724,312,About To Sleep
23725,423,Potential Loyalist
23726,513,Promising
23727,224,At Risk
23728,354,Loyal
23729,133,At Risk
2373,554,Champions
23730,345,Loyal
23731,112,Lost customers
23732,553,Potential Loyalist
23735,245,At Risk
23736,211,Hibernating customers
23737,233,Hibernating customers
23739,352,Potential Loyalist
2374,241,Hibernating customers
2374,241,About To Sleep
23740,244,At Risk
23741,134,At Risk
23743,125,At Risk
23744,354,Loyal
23745,324,Need Attention
23746,525,Promising
23747,254,At Risk
23748,115,Cannot Lose Them
23749,111,Lost customers
2375,212,Hibernating customers
23751,455,Champions
23753,314,Promising
23754,332,Hibernating customers
23755,241,Hibernating customers
23755,241,About To Sleep
23756,514,Promising
23757,454,Champions
23758,234,At Risk
23759,515,Promising
23762,555,Champions
23766,224,At Risk
23767,222,Hibernating customers
23768,511,New Customers
2377,213,About To Sleep
23771,111,Lost customers
23772,114,Cannot Lose Them
23773,213,About To Sleep
23774,331,About To Sleep
23775,334,Need Attention
23776,521,Promising
23778,144,Cannot Lose Them
23779,353,Potential Loyalist
2378,333,Potential Loyalist
23780,232,Hibernating customers
23781,211,Hibernating customers
23785,213,About To Sleep
23786,513,Promising
23789,323,Potential Loyalist
2379,221,About To Sleep
23790,245,At Risk
23791,332,Hibernating customers
23793,223,Hibernating customers
23794,435,Loyal
23796,121,Lost customers
23797,244,At Risk
23798,231,About To Sleep
23798,231,Hibernating customers
23799,431,Potential Loyalist
238,222,Hibernating customers
23801,413,Promising
23803,453,Potential Loyalist
23804,133,At Risk
23805,212,Hibernating customers
23806,113,Cannot Lose Them
23807,231,About To Sleep
23807,231,Hibernating customers
23808,342,Potential Loyalist
23809,545,Champions
2381,131,Lost customers
23810,121,Lost customers
23811,523,Promising
23812,315,Promising
23813,331,About To Sleep
23815,211,Hibernating customers
23816,554,Champions
23818,231,Hibernating customers
23818,231,About To Sleep
23819,511,New Customers
2382,433,Potential Loyalist
23821,211,Hibernating customers
23822,454,Champions
23823,443,Need Attention
23825,322,Hibernating customers
23828,211,Hibernating customers
2383,333,Potential Loyalist
23832,411,New Customers
23833,555,Champions
23835,145,At Risk
23837,553,Potential Loyalist
23838,441,Potential Loyalist
23839,131,Lost customers
23840,421,New Customers
23841,245,At Risk
23844,134,At Risk
23845,243,At Risk
23846,513,Promising
23847,553,Potential Loyalist
23848,331,About To Sleep
23849,232,Hibernating customers
2385,344,Loyal
23851,411,New Customers
23852,111,Lost customers
23853,443,Need Attention
23854,335,Loyal
23855,545,Champions
23856,113,Cannot Lose Them
23857,345,Loyal
23858,522,Promising
23859,423,Potential Loyalist
2386,255,At Risk
23860,422,New Customers
23862,423,Potential Loyalist
23863,142,At Risk
23864,525,Promising
23865,521,Promising
23866,113,Cannot Lose Them
23867,322,Hibernating customers
23868,554,Champions
23870,211,Hibernating customers
23871,523,Promising
23872,255,At Risk
23873,123,Hibernating customers
23874,131,Lost customers
23875,534,Need Attention
23876,122,Hibernating customers
23877,331,About To Sleep
23878,341,Potential Loyalist
2388,324,Need Attention
23880,553,Potential Loyalist
23881,153,At Risk
23882,122,Hibernating customers
23883,512,New Customers
23884,143,At Risk
23885,521,Promising
23886,454,Champions
23888,154,Cannot Lose Them
23889,234,At Risk
2389,354,Loyal
23890,323,Potential Loyalist
23891,244,At Risk
23892,143,At Risk
23893,112,Lost customers
23894,123,Hibernating customers
23896,114,Cannot Lose Them
23897,244,At Risk
23898,522,Promising
23899,555,Champions
23900,341,Potential Loyalist
23902,155,Cannot Lose Them
23903,422,New Customers
23904,131,Lost customers
23905,534,Need Attention
23906,131,Lost customers
23907,121,Lost customers
23909,132,Hibernating customers
23911,521,Promising
23913,444,Loyal
23914,511,New Customers
23915,244,At Risk
23916,243,At Risk
23917,131,Lost customers
23918,324,Need Attention
23919,454,Champions
2392,121,Lost customers
23920,111,Lost customers
23922,523,Promising
23923,533,Potential Loyalist
23924,244,At Risk
23925,342,Potential Loyalist
23926,354,Loyal
23927,354,Loyal
23928,355,Loyal
23929,144,Cannot Lose Them
2393,534,Need Attention
23930,232,Hibernating customers
23931,152,At Risk
23933,534,Need Attention
23934,455,Champions
23935,455,Champions
23936,221,About To Sleep
23937,444,Loyal
23938,321,About To Sleep
23939,533,Potential Loyalist
2394,342,Potential Loyalist
23942,345,Loyal
23945,413,Promising
23946,355,Loyal
23949,111,Lost customers
2395,121,Lost customers
23951,345,Loyal
23952,321,About To Sleep
23953,324,Need Attention
23954,242,At Risk
23955,221,About To Sleep
23958,342,Potential Loyalist
23959,554,Champions
23960,233,Hibernating customers
23962,113,Cannot Lose Them
23963,554,Champions
23964,243,At Risk
23965,523,Promising
23966,353,Potential Loyalist
23967,152,At Risk
2397,332,Hibernating customers
23970,245,At Risk
23971,242,At Risk
23972,344,Loyal
23975,255,At Risk
23976,335,Loyal
23977,222,Hibernating customers
23978,113,Cannot Lose Them
23979,322,Hibernating customers
2398,511,New Customers
23980,333,Potential Loyalist
23981,344,Loyal
23982,141,Lost customers
23983,212,Hibernating customers
23987,334,Need Attention
23989,341,Potential Loyalist
2399,555,Champions
23990,522,Promising
23993,323,Potential Loyalist
23994,523,Promising
23996,144,Cannot Lose Them
23997,243,At Risk
23998,115,Cannot Lose Them
23999,233,Hibernating customers
240,133,At Risk
2400,414,Promising
24001,555,Champions
24002,334,Need Attention
24003,512,New Customers
24004,111,Lost customers
24005,511,New Customers
24006,411,New Customers
24007,455,Champions
2401,221,About To Sleep
24010,241,Hibernating customers
24010,241,About To Sleep
24011,521,Promising
24013,425,Promising
24014,244,At Risk
24015,345,Loyal
24018,242,At Risk
24019,454,Champions
2402,223,Hibernating customers
24021,322,Hibernating customers
24023,534,Need Attention
24024,514,Promising
24026,113,Cannot Lose Them
24027,244,At Risk
24029,324,Need Attention
2403,133,At Risk
24030,421,New Customers
24031,511,New Customers
24032,122,Hibernating customers
24033,154,Cannot Lose Them
24035,213,About To Sleep
24036,341,Potential Loyalist
24037,121,Lost customers
24038,422,New Customers
2404,442,Potential Loyalist
24040,321,About To Sleep
24041,555,Champions
24044,512,New Customers
24045,452,Potential Loyalist
24046,425,Promising
24047,234,At Risk
24049,533,Potential Loyalist
2405,241,Hibernating customers
2405,241,About To Sleep
24050,443,Need Attention
24051,114,Cannot Lose Them
24053,333,Potential Loyalist
24054,354,Loyal
24055,211,Hibernating customers
24057,212,Hibernating customers
24059,321,About To Sleep
24060,554,Champions
24061,545,Champions
24062,415,Promising
24064,114,Cannot Lose Them
24065,555,Champions
24066,423,Potential Loyalist
24068,523,Promising
24069,244,At Risk
2407,421,New Customers
24070,551,Potential Loyalist
24071,155,Cannot Lose Them
24073,454,Champions
24074,454,Champions
24075,552,Potential Loyalist
24077,255,At Risk
24078,135,At Risk
